submission_date,state,conf_cases,new_case,conf_death,new_death
04/08/2022,AS,,0,,0
04/24/2020,PW,,0,,0
06/08/2021,TN,709796,260,10061,13
11/22/2020,AR,,1352,,20
03/31/2020,TN,1974,439,13,6
04/05/2020,TX,,681,,38
10/16/2022,NM,,0,,0
11/27/2020,PW,,0,,0
09/20/2021,NY,,2163,,21
06/20/2020,TN,33618,736,494,6
06/17/2022,AS,,0,,0
11/25/2020,OH,361623,10835,5869,156
09/28/2021,OH,1148212,7283,21945,125
05/25/2021,TN,706949,450,9975,7
10/15/2020,UT,90461,1498,525,2
08/17/2021,CO,550840,1134,6237,6
01/18/2021,GU,,41,,0
